START_POSITION,FG_PCT,REB,AST,STL,BLK,PTS
4.0,0.667,6.0,2.0,0.0,0.0,5.0
1.0,0.429,2.0,3.0,2.0,0.0,16.0
1.0,0.5,7.0,0.0,2.0,2.0,18.0
2.0,0.0,5.0,4.0,2.0,0.0,2.0
3.0,0.444,5.0,3.0,1.0,0.0,12.0
3.0,0.6,6.0,6.0,1.0,1.0,22.0
4.0,0.667,5.0,1.0,1.0,1.0,15.0
4.0,0.4,2.0,2.0,3.0,0.0,5.0
4.0,1.0,3.0,3.0,1.0,3.0,12.0
4.0,0.8,1.0,4.0,1.0,0.0,8.0
4.0,0.25,3.0,1.0,0.0,1.0,3.0
4.0,1.0,3.0,2.0,0.0,0.0,4.0
4.0,0.0,2.0,2.0,0.0,0.0,0.0
4.0,0.5,2.0,0.0,0.0,0.0,9.0
4.0,1.0,2.0,2.0,0.0,0.0,4.0
4.0,1.0,1.0,0.0,0.0,0.0,6.0
1.0,0.25,4.0,1.0,1.0,0.0,7.0
1.0,0.0,6.0,1.0,1.0,0.0,2.0
2.0,0.714,12.0,1.0,0.0,0.0,22.0
3.0,0.438,5.0,5.0,2.0,0.0,29.0
3.0,0.429,3.0,8.0,1.0,0.0,21.0
4.0,0.333,4.0,1.0,1.0,0.0,7.0
4.0,0.0,3.0,2.0,0.0,0.0,0.0
4.0,0.333,7.0,1.0,0.0,2.0,2.0
4.0,0.333,3.0,0.0,1.0,0.0,6.0
4.0,0.0,2.0,1.0,1.0,0.0,0.0
4.0,0.5,3.0,0.0,0.0,0.0,3.0
1.0,0.182,12.0,6.0,1.0,3.0,9.0
1.0,0.5,7.0,0.0,1.0,0.0,4.0
2.0,0.526,13.0,2.0,1.0,0.0,35.0
3.0,0.333,2.0,4.0,2.0,0.0,22.0
3.0,0.5,7.0,1.0,0.0,0.0,10.0
4.0,0.0,2.0,0.0,1.0,0.0,0.0
4.0,0.4,3.0,2.0,0.0,0.0,4.0
4.0,0.286,8.0,3.0,2.0,0.0,12.0
1.0,0.533,3.0,1.0,1.0,0.0,21.0
1.0,0.333,6.0,0.0,3.0,1.0,6.0
2.0,0.5,7.0,0.0,1.0,3.0,8.0
3.0,0.5,7.0,6.0,2.0,0.0,26.0
3.0,0.444,3.0,11.0,0.0,0.0,11.0
4.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.5,6.0,0.0,0.0,0.0,13.0
4.0,0.333,2.0,0.0,2.0,0.0,5.0
4.0,0.4,4.0,3.0,1.0,0.0,5.0
4.0,0.333,7.0,1.0,1.0,0.0,8.0
1.0,0.5,4.0,3.0,1.0,0.0,20.0
1.0,0.286,7.0,1.0,1.0,5.0,7.0
2.0,0.545,5.0,2.0,0.0,1.0,16.0
3.0,0.3,9.0,9.0,1.0,2.0,6.0
3.0,0.182,3.0,5.0,1.0,0.0,10.0
4.0,0.5,2.0,0.0,1.0,0.0,6.0
4.0,0.833,2.0,1.0,0.0,0.0,11.0
4.0,0.25,0.0,0.0,0.0,1.0,3.0
